,,Standard Ethnicity,Parent,Order
"5 - Asian, Black, White British, White other, Other inc Mixed",Bangladeshi,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Chinese,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Indian,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Pakistani,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Pakistani and Bangladeshi,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Asian other,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Asian other inc Chinese,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Black,Black,Black,2000
"5 - Asian, Black, White British, White other, Other inc Mixed",Black African,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Black Caribbean,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Black other,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Mixed,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Mixed White/Asian,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Mixed White/Black African,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Mixed White/Black Caribbean,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Mixed other,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",White,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",White British,White British,White,4100
"5 - Asian, Black, White British, White other, Other inc Mixed",White Irish,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",White Gypsy/Traveller,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Gypsy/Roma,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Irish traveller,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",White other,White other than British,White,4910
"5 - Asian, Black, White British, White other, Other inc Mixed",White other than British,White other than British,White,4910
"5 - Asian, Black, White British, White other, Other inc Mixed",Other,Other inc Mixed,Other inc Mixed,9030
"5 - Asian, Black, White British, White other, Other inc Mixed",Other inc Asian,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Other inc Chinese,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Other inc Mixed,Other inc Mixed,Other inc Mixed,9030
"5 - Asian, Black, White British, White other, Other inc Mixed",Other inc Mixed and Chinese,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Other (inc Gypsy/Traveller/Irish Traveller),,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Other than White,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Other than White British,,,
"5 - Asian, Black, White British, White other, Other inc Mixed",Any other,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",All,All,All,0
"6 - Asian, Black, Chinese, Mixed, White, Other",Unmatched,Unmatched,Unmatched,9991
"6 - Asian, Black, Chinese, Mixed, White, Other",Not applicable,Not applicable,Not applicable,9999
"6 - Asian, Black, Chinese, Mixed, White, Other",Unclassified,Unclassified,Unclassified,9990
"6 - Asian, Black, Chinese, Mixed, White, Other",Unknown,Unknown,Unknown,9980
"6 - Asian, Black, Chinese, Mixed, White, Other",Arab,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Asian,Asian,Asian,1000
"6 - Asian, Black, Chinese, Mixed, White, Other",Asian excluding Chinese,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Bangladeshi,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Chinese,Chinese,Chinese,1200
"6 - Asian, Black, Chinese, Mixed, White, Other",Indian,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Pakistani,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Pakistani and Bangladeshi,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Asian other,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Asian other inc Chinese,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Black,Black,Black,2000
"6 - Asian, Black, Chinese, Mixed, White, Other",Black African,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Black Caribbean,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Black other,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Mixed,Mixed,Mixed,3000
"6 - Asian, Black, Chinese, Mixed, White, Other",Mixed White/Asian,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Mixed White/Black African,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Mixed White/Black Caribbean,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Mixed other,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",White,White,White,4000
"6 - Asian, Black, Chinese, Mixed, White, Other",White British,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",White Irish,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",White Gypsy/Traveller,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Gypsy/Roma,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Irish traveller,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",White other,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",White other than British,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Other,Other,Other,9000
"6 - Asian, Black, Chinese, Mixed, White, Other",Other inc Asian,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Other inc Chinese,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Other inc Mixed,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Other inc Mixed and Chinese,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Other (inc Gypsy/Traveller/Irish Traveller),,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Other than White,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Other than White British,,,
"6 - Asian, Black, Chinese, Mixed, White, Other",Any other,,,
ONS 2001 extended - Style 1,All,All,All,0
ONS 2001 extended - Style 1,Unmatched,Unmatched,Unmatched,9991
ONS 2001 extended - Style 1,Not applicable,Not applicable,Not applicable,9999
ONS 2001 extended - Style 1,Unclassified,Unclassified,Unclassified,9990
ONS 2001 extended - Style 1,Unknown,Unknown,Unknown,9980
ONS 2001 extended - Style 1,Arab,,,
ONS 2001 extended - Style 1,Asian,Asian,Asian,1000
ONS 2001 extended - Style 1,Asian excluding Chinese,Asian,Asian,1000
ONS 2001 extended - Style 1,Bangladeshi,Bangladeshi,Asian,1100
ONS 2001 extended - Style 1,Chinese,Chinese,Other inc Chinese,1200
ONS 2001 extended - Style 1,Indian,Indian,Asian,1300
ONS 2001 extended - Style 1,Pakistani,Pakistani,Asian,1400
ONS 2001 extended - Style 1,Pakistani and Bangladeshi,,,
ONS 2001 extended - Style 1,Asian other,Asian other,Asian,1900
ONS 2001 extended - Style 1,Asian other inc Chinese,,,
ONS 2001 extended - Style 1,Black,Black,Black,2000
ONS 2001 extended - Style 1,Black African,Black African,Black,2100
ONS 2001 extended - Style 1,Black Caribbean,Black Caribbean,Black,2200
ONS 2001 extended - Style 1,Black other,Black other,Black,2900
ONS 2001 extended - Style 1,Mixed,Mixed,Mixed,3000
ONS 2001 extended - Style 1,Mixed White/Asian,Mixed White/Asian,Mixed,3100
ONS 2001 extended - Style 1,Mixed White/Black African,Mixed White/Black African,Mixed,3200
ONS 2001 extended - Style 1,Mixed White/Black Caribbean,Mixed White/Black Caribbean,Mixed,3300
ONS 2001 extended - Style 1,Mixed other,Mixed other,Mixed,3900
ONS 2001 extended - Style 1,White,White,White,4000
ONS 2001 extended - Style 1,White British,White British,White,4100
ONS 2001 extended - Style 1,White Irish,White Irish,White,4200
ONS 2001 extended - Style 1,White Gypsy/Traveller,,,
ONS 2001 extended - Style 1,Gypsy/Roma,Gypsy/Roma,White,4310
ONS 2001 extended - Style 1,Irish traveller,Irish traveller,White,4330
ONS 2001 extended - Style 1,White other,White other,White,4900
ONS 2001 extended - Style 1,White other than British,,,
ONS 2001 extended - Style 1,Other,Other inc Chinese,Other inc Chinese,9020
ONS 2001 extended - Style 1,Other inc Asian,,,
ONS 2001 extended - Style 1,Other inc Chinese,Other inc Chinese,Other inc Chinese,9020
ONS 2001 extended - Style 1,Other inc Mixed,,,
ONS 2001 extended - Style 1,Other inc Mixed and Chinese,,,
ONS 2001 extended - Style 1,Other (inc Gypsy/Traveller/Irish Traveller),,,
ONS 2001 extended - Style 1,Other than White,,,
ONS 2001 extended - Style 1,Other than White British,,,
ONS 2001 extended - Style 1,Any other,Any other,Any other,9900
ONS 2001 extended - Style 2,All,All,All,0
ONS 2001 extended - Style 2,Unmatched,Unmatched,Unmatched,9991
ONS 2001 extended - Style 2,Not applicable,Not applicable,Not applicable,9999
ONS 2001 extended - Style 2,Unclassified,Unclassified,Unclassified,9990
ONS 2001 extended - Style 2,Unknown,Unknown,Unknown,9980
ONS 2001 extended - Style 2,Arab,,,
ONS 2001 extended - Style 2,Asian,Asian,Asian,1000
ONS 2001 extended - Style 2,Asian excluding Chinese,Asian,Asian,1000
ONS 2001 extended - Style 2,Bangladeshi,Bangladeshi,Asian,1100
ONS 2001 extended - Style 2,Chinese,Chinese,Other inc Chinese,1200
ONS 2001 extended - Style 2,Indian,Indian,Asian,1300
ONS 2001 extended - Style 2,Pakistani,Pakistani,Asian,1400
ONS 2001 extended - Style 2,Pakistani and Bangladeshi,,,
ONS 2001 extended - Style 2,Asian other,Asian other,Asian,1900
ONS 2001 extended - Style 2,Asian other inc Chinese,,,
ONS 2001 extended - Style 2,Black,Black,Black,2000
ONS 2001 extended - Style 2,Black African,Black African,Black,2100
ONS 2001 extended - Style 2,Black Caribbean,Black Caribbean,Black,2200
ONS 2001 extended - Style 2,Black other,Black other,Black,2900
ONS 2001 extended - Style 2,Mixed,Mixed,Mixed,3000
ONS 2001 extended - Style 2,Mixed White/Asian,Mixed White/Asian,Mixed,3100
ONS 2001 extended - Style 2,Mixed White/Black African,Mixed White/Black African,Mixed,3200
ONS 2001 extended - Style 2,Mixed White/Black Caribbean,Mixed White/Black Caribbean,Mixed,3300
ONS 2001 extended - Style 2,Mixed other,Mixed other,Mixed,3900
ONS 2001 extended - Style 2,White,White,White,4000
ONS 2001 extended - Style 2,White British,White British,White,4100
ONS 2001 extended - Style 2,White Irish,White Irish,White,4200
ONS 2001 extended - Style 2,White Gypsy/Traveller,,,
ONS 2001 extended - Style 2,Gypsy/Roma,Gypsy/Roma,White,4310
