Code,Classification short name,Classification long name,Standard,Display,Parent,Order,Required
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",White Gypsy/Traveller,White Gypsy/Traveller,White Gypsy/Traveller,4100,TRUE
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Gypsy/Roma,White Gypsy/Traveller,White Gypsy/Traveller,4100,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Irish Traveller,White Gypsy/Traveller,White Gypsy/Traveller,4100,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Any other,Other,Other,9000,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Unknown,Unknown,Unknown,9980,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Unclassified,Unclassified,Unclassified,9990,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Unmatched,Unmatched,Unmatched,9991,
12A,Well-being survey - 12,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",Not applicable,Not applicable,Not applicable,9999,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",All,All,All,0,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Bangladeshi,Bangladeshi,Bangladeshi,1100,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Chinese,Chinese,Chinese,1200,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Indian,Indian,Indian,1300,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Pakistani,Pakistani,Pakistani,1400,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Asian other,Asian other,Asian other,1900,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Black,Black,Black,2000,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Mixed White/Asian,Mixed White/Asian,Mixed White/Asian,3100,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Mixed White/Black,Mixed White/Black,Mixed White/Black,3200,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Mixed other,Mixed other,Mixed other,3900,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Other,Other,Other,9000,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",White British,White British,White British,4100,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",White Irish,White Irish,White Irish,4200,TRUE
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",White other,White other,White other,4900,TRUE
